Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track
Adele,11/20/2015,"2,234",30.3,1064599051.0,"89,443","24,441,546",66.0,"997,993,764","6,246,988",66520.0,"38,824,727","261,382,201","1,677,484,200",116.0,"19,122",108,37.0,"295,349",18.0,"420,137,717","93,772",,"8,268,701",0
Sebastian Yatra,1/26/2018,"2,239",30.3,546219103.0,"43,372","12,705,005",69.0,"1,289,314,157","6,163,163",274799.0,"25,654,892","222,363,120","223,743,334",21.0,"13,300",102,31.0,"123,304",18.0,"18,098,372","4,619",,"24,199",0
Clean Bandit,1/1/2013,"2,236",30.3,1327093253.0,"188,363","58,299,660",70.0,"875,568,512","5,009,883",1072310.0,"146,302,323","1,196,196,511","528,574,920",250.0,"121,439",214,162.0,"968,778",78.0,"62,386,418","110,843","2,123,648","25,620,314",0
Witt Lowry,6/8/2018,"2,232",30.3,390529605.0,"68,181","10,506,568",67.0,"388,438,653","6,747,169",4480319.0,"1,314,071,004","15,189,209,474","133,226,735",17.0,"8,016",12,7.0,"9,478",4.0,"910,295","3,769",,"9,200,822",1
Vegedream,7/17/2018,"2,233",30.3,482859077.0,"154,354","9,307,449",62.0,"550,746,505","4,627,573",671494.0,"224,089,888","3,084,440,795","3,048,497",58.0,"4,483",,30.0,"460,193",6.0,"260,981","1,078",,"4,684,186",0
$uicideboy$,7/29/2022,"2,237",30.3,189588270.0,"43,837","2,663,499",72.0,"87,680,985","700,043",190.0,"31,952","432,059","4,870,198",,2,,,,,"6,559,431","3,552","14,217,001","240,381",1
SyKo,7/27/2020,"2,230",30.3,289085486.0,"76,485","8,876,090",62.0,"247,178,404","3,983,154",1939369.0,"289,578,955","2,184,568,318","86,473,112",4.0,10,,,,2.0,"3,362,791","11,273","264,657","4,423,775",1
Baby Lullaby,10/23/2014,"2,227",30.3,5484513.0,36,"9,217",27.0,"897,454,562","2,811,983",2.0,"6,990","35,885",,,,,,,,,,,,0
Luca-Dante Spadafora,5/12/2023,"2,226",30.3,119141939.0,"46,323","14,389,973",67.0,"23,993,631","167,659",58.0,"89,658","1,318,558","103,548,221",21.0,"2,297",,15.0,"212,114",13.0,,,"2,223,239","409,234",0
Becky G,8/2/2018,"2,240",30.3,588021470.0,"51,865","15,227,639",63.0,"1,114,556,086","5,855,578",118917.0,"6,274,016","58,539,891","114,202,446",20.0,"7,464",36,24.0,"221,478",18.0,"19,883,459","7,852",,"1,621,041",0
Offset,2/22/2019,"2,231",30.3,306221125.0,"61,432","15,468,892",58.0,"635,706,453","4,888,312",126257.0,"15,711,039","90,607,937","272,146,133",50.0,"15,637",102,24.0,"194,800",12.0,"76,691,389","37,017","25,647,174","2,066,390",1
Ariana Grande,8/21/2014,"2,243",30.2,1465918510.0,"110,953","65,876,311",77.0,"1,101,895,606","9,106,812",74689.0,"39,669,684","285,511,671","484,923,295",102.0,"83,891",118,43.0,"356,866",13.0,"263,174,203","96,346","11,323,498","5,273,745",0
Kenia OS,10/27/2022,"2,246",30.2,249199925.0,"15,573","11,736,236",68.0,"141,829,637","1,346,158",1093900.0,"310,175,951","3,326,289,021","35,896,326",21.0,"7,079",479,15.0,"100,850",4.0,"167,084",654,,"576,456",0
Bad Bunny,5/6/2022,"2,249",30.2,426904285.0,"50,219","17,690,466",71.0,"198,252,709","1,323,047",241013.0,"89,404,506","679,567,159","20,200,537",15.0,355,,4.0,"120,297",9.0,"10,610,635","1,775",,"629,164",0
Toy Cantando,6/10/2013,"2,250",30.2,38260236.0,"3,255","310,554",55.0,"2,809,354,638","7,825,584",22366.0,"1,533,921","72,165,422",,,8,,,,,,,,"4,506",0
Gusttavo Lima,3/31/2022,"2,241",30.2,194919563.0,"12,885","13,054,030",63.0,"459,414,543","1,879,854",60675.0,"4,714,394","61,427,214","3,136,649,155",19.0,"9,315",,62.0,"1,085,113",4.0,"17,963",,,"134,484",0
Payal Dev,8/11/2020,"2,244",30.2,12208412.0,"1,424","362,321",41.0,"135,529,803","1,794,516",5941101.0,"17,311,643","278,475,456",,1.0,5,,,,,,,,"37,064",0
Mï¿½ï¿½ne,3/3/2021,"2,242",30.2,475549122.0,"94,637","9,975,524",69.0,"259,762,159","2,895,468",139573.0,"75,858,814","628,509,922","21,047,789",62.0,"17,041",,28.0,"566,398",42.0,"543,933","1,020",,"2,395,559",1
Portugal. The Man,3/2/2017,"2,263",30.1,1303452422.0,"204,110","65,716,191",74.0,"563,059,238","5,008,418",77757.0,"60,080,391","447,512,595","13,369,387",87.0,"96,294","1,230",219.0,"2,003,306",81.0,,,,,0
Migos,10/27/2017,"2,262",30.1,590983645.0,"89,159","24,300,466",62.0,"744,579,257","4,504,144",266811.0,"63,415,889","417,482,479","187,758,140",109.0,"19,462",27,23.0,"169,108",23.0,"243,221,290","135,099",,"3,894,893",1
Halsey,6/2/2017,"2,265",30.1,635393773.0,"56,371","12,074,505",59.0,"575,220,523","4,408,507",487927.0,"11,620,804","84,632,348","111,825,857",60.0,"135,173",522,11.0,"31,796",46.0,"420,836,751","208,908",,"4,213,886",0
YoungBoy Never Broke Again,1/30/2021,"2,251",30.1,163974630.0,"60,031","4,503,801",64.0,"109,858,521","915,546",20233.0,"5,083,710","48,854,928","122,293,460",23.0,264,2,2.0,"55,679",,"44,161,281","27,622","38,396,480",,1
The Strokes,4/10/2020,"2,264",30.1,457933102.0,"152,115","30,405,327",76.0,"161,335,622","1,716,915",186563.0,"88,889,806","521,061,584","65,074",29.0,"24,933",,28.0,"129,502",21.0,"10,975,089","6,534",,"1,670,342",0
Shakira,1/1/2005,"2,257",30.1,1631152967.0,"261,693","142,426,948",80.0,"1,663,636,127","9,345,192",2393712.0,"306,451,930","2,939,466,349","1,850,350,995",261.0,"163,862",434,147.0,"3,150,258",84.0,"387,267,940","346,439",,"6,770,784",0
natori,9/7/2022,"2,259",30.1,191425175.0,"26,630","3,407,532",62.0,"271,219,300","2,855,968",183701.0,"53,658,710","662,260,750","19,820,354",21.0,244,,,,,,,,"367,613",0
Anggi Marito,12/2/2022,"2,253",30.1,415357981.0,"14,918","7,489,575",74.0,"201,860,884","912,928",399388.0,"88,921,840","1,171,868,533",418,8.0,"4,463",,1.0,"2,405",,,,,"127,265",0
Lil Baby,2/28/2020,"2,261",30.1,289652584.0,"93,481","10,151,445",63.0,"310,518,713","1,797,173",33861.0,"6,143,414","40,742,074","10,809,869",35.0,"82,296",123,3.0,"30,366",14.0,"158,335,863","49,964",,"2,007,348",1
Luke Combs,6/2/2017,"2,258",30.1,807802864.0,"93,613","23,160,480",78.0,"576,510,087","2,093,903",29070.0,"5,193,789","42,065,642","675,794,766",55.0,"118,955",49,11.0,"29,415",24.0,"327,355,246","125,734","1,542,691","1,719,362",0
Jason Aldean,7/23/2021,"2,268",30.0,143447350.0,"22,233","3,205,615",60.0,"95,029,099","693,003",2017.0,"1,558,730","15,893,357","591,874,403",2.0,"295,116",83,2.0,"39,829",,"205,296,427","27,410",,"991,870",0
Bad Bunny,10/13/2023,"2,269",30.0,144801283.0,"20,979","16,117,371",73.0,"33,000,813","284,943",1380.0,"750,523","7,437,994","37,948,816",18.0,"8,135",,4.0,"321,307",16.0,"4,129,629","1,305",,"538,315",1
Anne-Marie,5/18/2023,"2,274",30.0,107435709.0,"18,457","6,727,123",60.0,"18,349,123","218,523",7316.0,"5,194,441","79,827,003","183,272,059",52.0,"133,743",,22.0,"287,345",21.0,"350,335",118,"689,846","1,025,913",0
Emanero,7/5/2023,"2,280",30.0,65617109.0,"7,487","3,295,468",61.0,"189,591,521","578,345",291.0,"711,415","33,073,512","215,348,129",1.0,"4,559",,4.0,"252,063",11.0,,,,"101,460",0
Hozier,9/13/2013,"2,276",30.0,2544489950.0,"113,315","30,950,638",74.0,"184,351,951","1,963,267",7069.0,"172,614,084","1,691,376,898","3,808,342",142.0,"2,168",,18.0,"17,163",30.0,"602,652,861","1,112,724",,,0
The Chainsmokers,6/16/2015,"2,270",30.0,1046848265.0,"137,023","33,124,854",68.0,"585,020,723","3,442,407",273486.0,"55,726,548","405,625,969","51,232,888",129.0,"30,641",87,43.0,"173,923",16.0,"294,611,058","172,101","26,571,481","9,203,307",0
